"NUMERO_ORDEN";"NOMBRE_EMPRESA"
1;"Adriática de Seguros, C.A."
2;"Altamira C.A., Seguros"
3;"American International, C.A. de Seguros"
4;"Andes C.A., Seguros"
5;"Atrio Seguros C.A."
6;"Ávila C.A., de Seguros"
7;"Banesco Seguros C.A."
8;"BBVA Seguros, C.A."
9;"Bolivariana de Seguros y Reaseguros, S.A."
10;"Capital C.A., Seguros"
11;"Carabobo C.A., Seguros"
12;"Caracas C.A., Seguros"
13;"Caroní, S.A., Seguros"
14;"Catatumbo C.A., Seguros"
15;"Constitución C.A., Seguros"
16;"Corporativos C.A., Seguros"
17;"Estar Seguros, S.A."
18;"Fe C.A., Seguros"
19;"Guayana C.A. Seguros"
20;"Hispana de Seguros, C.A."
21;"Horizonte, S.A. Seguros"
22;"Iberoamericana de Seguros C.A."
23;"Interbank Seguros, S.A."
24;"Internacional, C.A. de Seguros"
25;"Latitud Seguros C.A."
26;"Mapfre La Seguridad, C.A. de Seguros"
27;"Mercantil C.A., Seguros"
28;"Miranda C.A., Seguros"
29;"Multinacional de Seguros, C.A."
30;"Mundial, C.A. de Seguros"
31;"Nuevo Mundo S.A., Seguros"
32;"Occidental C.A., Seguros"
33;"Oceánica de Seguros, C.A."
34;"Oriental de Seguros C.A."
35;"Pirámide C.A., Seguros"
36;"Previsora, C.N.A. de Seguros"
37;"Primus Seguros C.A."
38;"Proseguros, S.A."
39;"Qualitas C.A., Seguros"
40;"Real Seguros, S.A."
41;"Regional C.A. Seguros"
42;"Uniseguros S.A., Aseguradora Nacional Unida"
43;"Universal de Seguros C.A."
44;"Universitas, C.A. Seguros"
45;"Venezolana de Seguros y Vida C.A."
46;"Venezuela C.A., Seguros"
47;"Vértice, C.A. Seguros"
48;"Virgen del Valle C.A., Seguros"
49;"Vitalicia, S.A., Seguros"
50;"Vivir Seguros C.A."
51;"Zuma Seguros, C.A."
