"Nombre Empresa";"Accidentes Personales Colectivo";"Hospitalizacion Individual";"Hospitalizacion Colectivo";"Seguros Funerarios";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";3930.0;14917.0;304861.0;2766.0;328637.0
"American International, C.A. de Seguros";1204.0;0.0;0.0;0.0;1204.0
"Andes C.A., Seguros";5882.0;17922.0;27531.0;1429.0;53486.0
"Atrio Seguros C.A.";3357.0;52080.0;4016.0;678.0;65050.0
"Ávila C.A., de Seguros";15.0;124.0;1808.0;14.0;1978.0
"Banesco Seguros C.A.";9740.0;235.0;440928.0;34113.0;521590.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;29802.0;47830.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;4016.0;1058.0;9424.0;14498.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";82313.0;2853251.0;1222650.0;0.0;4290532.0
"Caroní, S.A., Seguros";32.0;451.0;4943.0;181.0;5699.0
"Catatumbo C.A., Seguros";305.0;0.0;0.0;162.0;551.0
"Constitución C.A., Seguros";5807.0;375240.0;399800.0;4709.0;792965.0
"Corporativos C.A., Seguros";0.0;116.0;0.0;0.0;116.0
"Estar Seguros, S.A.";13284.0;47956.0;142016.0;0.0;214442.0
"Fe C.A., Seguros";0.0;0.0;0.0;63297.0;69334.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";8363.0;415260.0;229555.0;235.0;653646.0
"Horizonte, S.A. Seguros";3045.0;7344.0;107552.0;13230.0;137652.0
"Iberoamericana de Seguros C.A.";17.0;0.0;1136.0;35.0;1221.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";5760.0;693481.0;428518.0;12902.0;1166893.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";27248.0;472223.0;243023.0;22531.0;796963.0
"Mercantil C.A., Seguros";18893.0;4064436.0;1568724.0;53320.0;5804265.0
"Miranda C.A., Seguros";276.0;5495.0;59754.0;2247.0;68299.0
"Multinacional C.A. de Seguros";0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";1324.0;395.0;1040.0;25.0;2970.0
"Nuevo Mundo S.A., Seguros";1415.0;13222.0;0.0;760.0;16835.0
"Occidental C.A., Seguros";589.0;2437.0;549.0;176.0;3814.0
"Oceánica de Seguros, C.A.";13139.0;265475.0;319669.0;7247.0;609011.0
"Oriental de Seguros C.A.";30.0;0.0;0.0;35.0;77.0
"Pirámide C.A., Seguros";15661.0;341656.0;1084509.0;16545.0;1465077.0
"Previsora, C.N.A. de Seguros";137.0;589.0;10773.0;2267.0;14048.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;16.0
"Proseguros, S.A. -";-1.0;0.0;0.0;591.0;1711.0
"Qualitas C.A., Seguros";16324.0;91090.0;156793.0;2160.0;268212.0
"Real Seguros, S.A.";353.0;29513.0;318302.0;665.0;353270.0
"Regional C.A de Seguros";0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";125.0;10023.0;29725.0;551.0;42443.0
"Universal de Seguros C.A.";0.0;134.0;0.0;25.0;159.0
"Universitas, C.A. Seguros";7457.0;169836.0;135131.0;16467.0;355820.0
"Venezolana de Seguros y Vida C.A.";431.0;11594.0;23716.0;185.0;35960.0
"Venezuela C.A., Seguros";4994.0;126.0;127236.0;1505.0;152260.0
"Vértice, C.A. Seguros";0.0;0.0;4443.0;0.0;4443.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;6061.0;6061.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";410.0;1409.0;11.0;87.0;1989.0
"Zuma Seguros, C.A.";111.0;0.0;0.0;199.0;385.0
