"Nombre Empresa";"Hospitalizacion Individual";"% (Hosp. Ind.)";"Hospitalizacion Colectivo";"% (Hosp. Col.)";"Automovil Casco";"% (Auto)";"Resto de Ramos";"% (Resto)";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";9686.0;10.91;75873.0;85.46;1307.0;1.47;1919.0;2.16;88784.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;30.0;0.97;3050.0;99.03;3080.0
"Andes C.A., Seguros";8495.0;66.3;3619.0;28.24;125.0;0.98;574.0;4.48;12813.0
"Atrio Seguros C.A.";29719.0;71.93;6537.0;15.82;2153.0;5.21;2909.0;7.04;41318.0
"Ávila C.A., de Seguros";0.0;0.0;757.0;82.81;0.0;0.0;157.0;17.19;914.0
"Banesco Seguros C.A.";0.0;0.0;248282.0;81.32;33353.0;10.92;23690.0;7.76;305325.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0;9195.0;100.0;9195.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0;226.0;100.0;226.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";1720044.0;62.26;637359.0;23.07;158859.0;5.75;246517.0;8.92;2762778.0
"Caroní, S.A., Seguros";887.0;33.31;1657.0;62.25;0.0;0.0;118.0;4.44;2663.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;2150.0;46.97;2428.0;53.03;4578.0
"Constitución C.A., Seguros";186606.0;55.25;138328.0;40.95;10945.0;3.24;1878.0;0.56;337757.0
"Corporativos C.A., Seguros";88.0;2.23;0.0;0.0;0.0;0.0;3866.0;97.77;3955.0
"Estar Seguros, S.A.";7512.0;3.84;59635.0;30.47;17255.0;8.82;111315.0;56.88;195717.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0;16916.0;100.0;16916.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";267144.0;62.55;128184.0;30.01;14288.0;3.35;17456.0;4.09;427072.0
"Horizonte, S.A. Seguros";14845.0;6.73;27604.0;12.52;305.0;0.14;177786.0;80.61;220540.0
"Iberoamericana de Seguros C.A.";0.0;0.0;1063.0;100.0;0.0;0.0;0.0;0.0;1063.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";332037.0;52.58;268820.0;42.57;25274.0;4.0;5305.0;0.84;631435.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";396559.0;58.01;221885.0;32.46;20939.0;3.06;44245.0;6.47;683627.0
"Mercantil C.A., Seguros";2729828.0;69.65;855989.0;21.84;163150.0;4.16;170158.0;4.34;3919125.0
"Miranda C.A., Seguros";1613.0;3.91;36966.0;89.59;0.0;0.0;2681.0;6.5;41260.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;3.0;1.39;97.0;43.72;122.0;54.89;222.0
"Nuevo Mundo S.A., Seguros";8200.0;60.96;0.0;0.0;4433.0;32.95;819.0;6.09;13453.0
"Occidental C.A., Seguros";1019.0;59.52;425.0;24.8;76.0;4.42;193.0;11.27;1712.0
"Oceánica de Seguros, C.A.";179271.0;43.51;176416.0;42.82;34287.0;8.32;22061.0;5.35;412035.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0;6.0;100.0;6.0
"Pirámide C.A., Seguros";215235.0;27.0;447543.0;56.15;60972.0;7.65;73276.0;9.19;797027.0
"Previsora, C.N.A. de Seguros";259.0;2.0;6090.0;46.9;3944.0;30.37;2692.0;20.73;12985.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A.";0.0;0.0;0.0;0.0;802.0;35.0;1489.0;65.0;2290.0
"Qualitas C.A., Seguros";48995.0;45.72;54849.0;51.18;0.0;0.0;3321.0;3.1;107165.0
"Real Seguros, S.A.";12827.0;4.55;252980.0;89.65;172.0;0.06;16206.0;5.74;282185.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";3369.0;20.34;11162.0;67.4;662.0;3.99;1368.0;8.26;16561.0
"Universal de Seguros C.A.";6.0;0.85;348.0;49.72;320.0;45.77;26.0;3.67;700.0
"Universitas, C.A. Seguros";134850.0;44.12;121575.0;39.78;42064.0;13.76;7126.0;2.33;305616.0
"Venezolana de Seguros y Vida C.A.";5659.0;33.62;10410.0;61.83;651.0;3.87;114.0;0.68;16835.0
"Venezuela C.A., Seguros";0.0;0.0;59367.0;94.17;0.0;0.0;3679.0;5.83;63045.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0;64.0;100.0;64.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0;1285.0;100.0;1285.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";102.0;63.53;0.0;0.0;37.0;22.96;22.0;13.51;161.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0;7.0;100.0;7.0
"TOTAL";6314858.0;53.77;3853724.0;32.82;598648.0;5.1;976265.0;8.31;11743495.0
