"Nombre Empresa";"Incendio";"Terremoto";"Robo";"Transporte";"Ramos Técnicos";"Petroleros"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Andes C.A., Seguros";29.0;0.0;0.0;0.0;2.0;0.0
"Ávila C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Atrio Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Banesco Seguros C.A.";0.0;0.0;0.0;6.0;0.0;0.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Carabobo C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;0.0;0.0;15.0;547.0;0.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Catatumbo C.A., Seguros";6.0;0.0;0.0;37.0;0.0;0.0
"Constitución C.A., Seguros";60.0;0.0;3.0;0.0;66.0;0.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Estar Seguros, S.A.";1547.0;0.0;88.0;67.0;57.0;0.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, S.A.";2.0;0.0;0.0;2.0;25.0;0.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, S.A. de Seguros";280.0;0.0;0.0;66.0;0.0;0.0
"Latitud Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Mercantil C.A., Seguros";170.0;0.0;0.0;162.0;0.0;0.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Occidental C.A., Seguros";0.0;0.0;0.0;18.0;0.0;0.0
"Oceánica de Seguros, C.A.";178.0;0.0;44.0;3.0;159.0;0.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Pirámide C.A., Seguros";145.0;0.0;31.0;32.0;150.0;0.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Proseguros, S.A. -";-130.0;0.0;0.0;0.0;0.0;0.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Real Seguros, S.A.";1797.0;0.0;833.0;272.0;0.0;0.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;0.0;0.0;0.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Universitas, C.A. Seguros";1248.0;0.0;0.0;915.0;0.0;0.0
"Venezolana de Seguros y Vida C.A.";19.0;0.0;0.0;0.0;0.0;0.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
