"CONCEPTO";"MONTO";"PORCENTAJE";"TIPO"
"TOTAL";16895142.0;100.0;"SECCION"
"DISPONIBLE";1147191.0;6.79;"SECCION"
"CAJA";217450.0;1.29;"SUBDIVISION"
"CAJA CHICA";29820.0;0.18;"SUBDIVISION"
"DEPÓSITOS A LA VISTA";847689.0;5.02;"SUBDIVISION"
"DEPÓSITOS A PLAZO FIJO";52232.0;0.31;"SUBDIVISION"
"DISPONIBLE EN BANCOS POR CUENTA DE REASEGURADORES";0.0;0.0;"SUBDIVISION"
"VALORES PÚBLICOS";3094458.0;18.32;"SECCION"
"EMITIDOS Y GARANTIZADOS POR LA NACIÓN";3094458.0;18.32;"SUBDIVISION"
"EMITIDOS Y GARANTIZADOS POR ENTIDADES REGIONALES";0.0;0.0;"SUBDIVISION"
"EMITIDOS Y GARANTIZADOS POR LAS MUNICIPALIDADES";0.0;0.0;"SUBDIVISION"
"EMITIDOS POR GOBIERNOS LATINOAMERICANOS";0.0;0.0;"SUBDIVISION"
"EMITIDOS POR ENTIDADES PÚBLICAS Y GARANTIZADOS POR GOBIERNOS LATINOAMERICANOS";0.0;0.0;"SUBDIVISION"
"EMITIDOS POR ORGANISMOS PÚBLICOS FINANCIEROS INTERNACIONALES";0.0;0.0;"SUBDIVISION"
"PREDIOS URBANOS EDIFICADOS";12578021.0;74.45;"SECCION"
"TERRENOS";858248.0;5.08;"SUBDIVISION"
"EDIFICACIONES MENOS: DEPRECIACION ACUMULADA";11719773.0;69.37;"SUBDIVISION"
"OTROS BIENES AUTORIZADOS";75472.0;0.45;"SECCION"
