"Nombre Empresa";"Agrícola";"Pecuario";"Bancarios";"Joyería";"Diversos";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Altamira C.A., Seguros";0.0;0.0;0.0;0.0;17813.0;26390.0
"American International, C.A. de Seguros";0.0;0.0;0.0;0.0;12.0;19713.0
"Andes C.A., Seguros";0.0;0.0;0.0;0.0;111.0;2508.0
"Atrio Seguros C.A.";0.0;0.0;0.0;0.0;3059.0;26429.0
"Ávila C.A., de Seguros";0.0;0.0;0.0;0.0;3.0;6402.0
"Banesco Seguros C.A.";0.0;0.0;0.0;0.0;7075.0;36527.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";0.0;0.0;0.0;0.0;296.0;452.0
"Capital C.A., Seguros";0.0;0.0;0.0;0.0;701.0;5063.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";0.0;0.0;0.0;0.0;266.0;84228.0
"Caroní, S.A., Seguros";0.0;0.0;0.0;0.0;59.0;2535.0
"Catatumbo C.A., Seguros";0.0;0.0;0.0;0.0;3531.0;20747.0
"Constitución C.A., Seguros";0.0;0.0;0.0;0.0;182.0;23634.0
"Corporativos C.A., Seguros";0.0;0.0;0.0;0.0;0.0;1666.0
"Estar Seguros, S.A.";0.0;0.0;0.0;0.0;1356.0;77898.0
"Fe C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Guayana C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";0.0;0.0;0.0;0.0;22672.0;73433.0
"Horizonte, S.A. Seguros";0.0;0.0;0.0;0.0;77.0;51460.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";0.0;0.0;0.0;0.0;31869.0;60664.0
"Latitud Seguros C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";0.0;0.0;0.0;0.0;42412.0;75840.0
"Mercantil C.A., Seguros";0.0;0.0;9558.0;0.0;16726.0;146770.0
"Miranda C.A., Seguros";0.0;0.0;0.0;0.0;15746.0;105948.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";0.0;0.0;19420.0;0.0;7034.0;46319.0
"Nuevo Mundo S.A., Seguros";0.0;0.0;0.0;0.0;51.0;6908.0
"Occidental C.A., Seguros";0.0;0.0;5.0;0.0;884.0;3237.0
"Oceánica de Seguros, C.A.";0.0;0.0;0.0;0.0;18616.0;59529.0
"Oriental de Seguros C.A.";0.0;0.0;0.0;0.0;0.0;2573.0
"Pirámide C.A., Seguros";0.0;0.0;0.0;0.0;12295.0;61188.0
"Previsora, C.N.A. de Seguros";0.0;0.0;0.0;0.0;19915.0;33000.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0;0.0;931.0
"Proseguros, S.A.";0.0;0.0;0.0;0.0;41.0;4488.0
"Qualitas C.A., Seguros";0.0;0.0;0.0;0.0;68.0;209.0
"Real Seguros, S.A.";0.0;0.0;0.0;0.0;511.0;34835.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";0.0;0.0;0.0;0.0;9.0;3460.0
"Universal de Seguros C.A.";0.0;0.0;0.0;0.0;525.0;1638.0
"Universitas, C.A. Seguros";0.0;0.0;0.0;0.0;195.0;54672.0
"Venezolana de Seguros y Vida C.A.";0.0;0.0;0.0;0.0;287.0;18167.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;0.0;352.0;4765.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;0.0;51.0;71.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0;0.0;114.0
"Vivir Seguros C.A.";0.0;0.0;0.0;0.0;25.0;1547.0
"Zuma Seguros, C.A.";0.0;0.0;0.0;0.0;391.0;1085.0
