"Nombre Empresa";"Fidelidad de Empleados";"Responsabilidad Civil de Productos";"Seguros de Crédito";"TOTAL"
"Adriática de Seguros, C.A.";0.0;0.0;0.0;11680.0
"Altamira C.A., Seguros";0.0;0.0;0.0;10224.0
"American International, C.A. de Seguros";0.0;0.0;0.0;11058.0
"Andes C.A., Seguros";0.0;0.0;0.0;5952.0
"Atrio Seguros C.A.";162.0;0.0;0.0;13248.0
"Ávila C.A., de Seguros";2.0;0.0;0.0;2248.0
"Banesco Seguros C.A.";0.0;0.0;0.0;3495.0
"BBVA Seguros, C.A.";0.0;0.0;0.0;0.0
"Bolivariana de Seguros y Reaseguros, S.A.";2.0;0.0;0.0;184.0
"Capital C.A., Seguros";0.0;0.0;0.0;50.0
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";2.0;0.0;0.0;23072.0
"Caroní, S.A., Seguros";15.0;0.0;0.0;66984.0
"Catatumbo C.A., Seguros";438.0;0.0;0.0;11231.0
"Constitución C.A., Seguros";111.0;0.0;0.0;11298.0
"Corporativos C.A., Seguros";33.0;0.0;0.0;6057.0
"Estar Seguros, S.A.";505.0;0.0;0.0;11488.0
"Fe C.A., Seguros";0.0;0.0;0.0;17.0
"Guayana C.A., Seguros";0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";277.0;0.0;0.0;11460.0
"Horizonte, S.A. Seguros";426.0;0.0;0.0;10983.0
"Iberoamericana de Seguros C.A.";0.0;0.0;0.0;0.0
"Interbank Seguros, S.A.";0.0;0.0;0.0;0.0
"Internacional, C.A. de Seguros";13.0;92.0;0.0;10315.0
"Latitud Seguros C.A.";0.0;0.0;0.0;22061.0
"Mapfre La Seguridad, C.A. de Seguros";602.0;270.0;0.0;11805.0
"Mercantil C.A., Seguros";670.0;0.0;0.0;7772.0
"Miranda C.A., Seguros";207.0;0.0;0.0;11720.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";2.0;0.0;0.0;23020.0
"Nuevo Mundo S.A., Seguros";11.0;0.0;0.0;2733.0
"Occidental C.A., Seguros";40.0;0.0;0.0;18592.0
"Oceánica de Seguros, C.A.";58.0;0.0;0.0;10447.0
"Oriental de Seguros C.A.";3.0;0.0;0.0;2077.0
"Pirámide C.A., Seguros";235.0;0.0;0.0;20160.0
"Previsora, C.N.A. de Seguros";3019.0;0.0;0.0;8193.0
"Primus Seguros C.A.";0.0;0.0;0.0;0.0
"Proseguros, S.A.";26.0;0.0;0.0;17577.0
"Qualitas C.A., Seguros";12.0;0.0;0.0;9049.0
"Real Seguros, S.A.";5565.0;774.0;0.0;8846.0
"Regional C.A. Seguros";0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";10.0;0.0;0.0;1348.0
"Universal de Seguros C.A.";106.0;0.0;0.0;7417.0
"Universitas, C.A. Seguros";131.0;0.0;0.0;14059.0
"Venezolana de Seguros y Vida C.A.";30.0;0.0;0.0;6270.0
"Venezuela C.A., Seguros";0.0;0.0;0.0;201.0
"Vértice, C.A. Seguros";0.0;0.0;0.0;7203.0
"Virgen del Valle C.A., Seguros";0.0;0.0;0.0;0.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0;0.0
"Vivir Seguros C.A.";0.0;0.0;0.0;86.0
"Zuma Seguros, C.A.";9.0;0.0;0.0;26758.0
