"NOMBRE_EMPRESA";"MONTO_FONDO_2022";"MONTO_FONDO_2023";"PRODUCTO_INVERSIONES";"RENTABILIDAD_PORC"
"Adriática de Seguros, C.A.";0.0;8037.0;845.0;23.48
"Altamira C.A., Seguros";37170.0;328368.0;1266.0;0.69
"American International, C.A. de Seguros";139604.0;386483.0;7069.0;2.72
"Andes C.A., Seguros";188636.0;216806.0;1009.0;0.5
"Atrio Seguros C.A.";36893.0;94658.0;22.0;0.03
"Ávila C.A., de Seguros";0.0;298206.0;1083.0;0.73
"Banesco Seguros C.A.";549290.0;1175167.0;14659.0;1.71
"BBVA Seguros, C.A.";207715.0;454445.0;13224.0;4.08
"Bolivariana de Seguros y Reaseguros, S.A.";14181.0;27659.0;0.0;0.0
"Capital C.A., Seguros";6488.0;11452.0;255.0;2.88
"Carabobo C.A., Seguros";0.0;0.0;0.0;0.0
"Caracas C.A., Seguros";881720.0;2777647.0;40209.0;2.22
"Caroní, S.A., Seguros";255127.0;359771.0;10979.0;3.64
"Catatumbo C.A., Seguros";1538725.0;3235631.0;8067.0;0.34
"Constitución C.A., Seguros";439941.0;1185030.0;341263.0;53.17
"Corporativos C.A., Seguros";120021.0;254160.0;303.0;0.16
"Estar Seguros, S.A.";321121.0;688625.0;197.0;0.04
"Fe C.A., Seguros";21051.0;43935.0;153.0;0.47
"Guayana C.A. Seguros";0.0;0.0;0.0;0.0
"Hispana de Seguros, C.A.";50490.0;251885.0;426.0;0.28
"Horizonte, S.A. Seguros";1086670.0;2447824.0;62478.0;3.6
"Iberoamericana de Seguros C.A.";166077.0;379958.0;0.0;0.0
"Internacional, C.A. de Seguros";102745.0;521707.0;17685.0;5.83
"Latitud Seguros, C.A.";0.0;13588.0;1010.0;16.07
"Mapfre La Seguridad, C.A. de Seguros";878002.0;1825861.0;18328.0;1.36
"Mercantil C.A., Seguros";617802.0;1529112.0;7913.0;0.74
"Miranda C.A., Seguros";52717.0;236577.0;0.0;0.0
"Multinacional de Seguros, C.A.";0.0;0.0;0.0;0.0
"Mundial, C.A. de Seguros";8917.0;69560.0;0.0;0.0
"Nuevo Mundo S.A., Seguros";48684.0;305996.0;11164.0;6.5
"Occidental C.A., Seguros";101628.0;267992.0;2327.0;1.27
"Oceánica de Seguros, C.A.";84190.0;240805.0;2314.0;1.43
"Oriental de Seguros C.A.";16547.0;104396.0;2387.0;4.03
"Pirámide C.A., Seguros";331305.0;1084806.0;157.0;0.02
"Previsora, C.N.A. de Seguros";1263630.0;1251732.0;352.0;0.03
"Primus Seguros C.A.";3754.0;9518.0;204.0;3.12
"Proseguros, S.A.";19226.0;82357.0;0.0;0.0
"Qualitas C.A., Seguros";94377.0;228533.0;14.0;0.01
"Real Seguros, S.A.";111305.0;356719.0;16944.0;7.51
"Regional C.A. Seguros";0.0;0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";125594.0;294579.0;862.0;0.41
"Universal de Seguros C.A.";16451.0;48622.0;2893.0;9.3
"Universitas, C.A. Seguros";321789.0;694108.0;766.0;0.15
"Venezolana de Seguros y Vida C.A.";0.0;94086.0;0.0;0.0
"Venezuela C.A., Seguros";57699.0;117541.0;2099.0;2.42
"Vértice, C.A. Seguros";402.0;8514.0;0.0;0.0
"Virgen del Valle C.A., Seguros";2185.0;7421.0;646.0;14.42
"Vitalicia, S.A., Seguros";49.0;63.0;151.0;-782.84
"Vivir Seguros C.A.";8335.0;17039.0;22.0;0.18
"Zuma Seguros, C.A.";27395.0;136872.0;0.0;0.0
"TOTAL";10355648.0;24173857.0;591745.0;3.49
