"NOMBRE_EMPRESA";"PRIMAS_2022";"PRIMAS_2023";"CRECIMIENTO_PORC"
"Adriática de Seguros, C.A.";0.0;122.0;0.0
"Altamira C.A., Seguros";75185.0;503291.0;569.0
"American International, C.A. de Seguros";6484.0;22790.0;251.0
"Andes C.A., Seguros";31295.0;75002.0;140.0
"Atrio Seguros C.A.";55208.0;173742.0;215.0
"Ávila C.A., de Seguros (3)";0.0;46967.0;0.0
"Banesco Seguros C.A.";129746.0;703122.0;442.0
"BBVA Seguros, C.A.";12006.0;47969.0;300.0
"Bolivariana de Seguros y Reaseguros, S.A.";359.0;272.0;-24.0
"Capital C.A., Seguros";15752.0;33098.0;110.0
"Carabobo C.A., Seguros (3)";0.0;0.0;0.0
"Caracas C.A., Seguros";1014173.0;5011389.0;394.0
"Caroní, S.A., Seguros";7693.0;43364.0;464.0
"Catatumbo C.A., Seguros";12299.0;61876.0;403.0
"Constitución C.A., Seguros";193915.0;916713.0;373.0
"Corporativos C.A., Seguros";478.0;2969.0;521.0
"Estar Seguros, S.A.";99978.0;601809.0;502.0
"Fe C.A., Seguros";14528.0;69362.0;377.0
"Guayana C.A. Seguros (3)";0.0;0.0;0.0
"Hispana de Seguros, C.A.";178290.0;955553.0;436.0
"Horizonte, S.A. Seguros";19756.0;338578.0;1614.0
"Iberoamericana de Seguros C.A.";0.0;1221.0;0.0
"Interbank Seguros, S.A. (3)";0.0;0.0;0.0
"Internacional, C.A. de Seguros";251919.0;1541506.0;512.0
"Latitud Seguros C.A. (4)";0.0;2400.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";289319.0;1177660.0;307.0
"Mercantil C.A., Seguros";1513340.0;6831105.0;351.0
"Miranda C.A., Seguros";91932.0;347337.0;278.0
"Multinacional de Seguros, C.A. (3)";0.0;0.0;0.0
"Mundial, C.A. de Seguros";8174.0;248338.0;2938.0
"Nuevo Mundo S.A., Seguros";8481.0;36018.0;325.0
"Occidental C.A., Seguros";6777.0;19467.0;187.0
"Oceánica de Seguros, C.A.";309954.0;1167287.0;277.0
"Oriental de Seguros C.A.";806.0;3229.0;301.0
"Pirámide C.A., Seguros";438643.0;1935874.0;341.0
"Previsora, C.N.A. de Seguros";20147.0;58112.0;188.0
"Primus Seguros C.A.";7.0;153.0;2079.0
"Proseguros, S.A.";10333.0;62042.0;500.0
"Qualitas C.A., Seguros";63685.0;334402.0;425.0
"Real Seguros, S.A.";94786.0;645345.0;581.0
"Regional C.A. Seguros (3)";0.0;0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";6888.0;53450.0;676.0
"Universal de Seguros C.A.";2889.0;6023.0;108.0
"Universitas, C.A. Seguros";136044.0;604471.0;344.0
"Venezolana de Seguros y Vida C.A. (4)";0.0;84569.0;0.0
"Venezuela C.A., Seguros";46284.0;170118.0;268.0
"Vértice, C.A. Seguros";2639.0;22207.0;742.0
"Virgen del Valle C.A., Seguros";1525.0;6061.0;297.0
"Vitalicia, S.A., Seguros";0.0;0.0;0.0
"Vivir Seguros C.A.";1855.0;5648.0;204.0
"Zuma Seguros, C.A.";8338.0;40829.0;390.0
"Total";5181914.0;25012858.0;383.0
