"AÑO";"PRIMAS_NETAS_COBRADAS";"INDICE_PRIMAS";"PRESTACIONES_SINIESTROS_PAGADOS";"INDICE_SINIESTROS";"PCT_SINIESTROS_VS_PRIMAS"
1990;0.0;0.3;0.0;0.34;53.21
1991;0.0;0.42;0.0;0.47;53.08
1992;0.0;0.6;0.0;0.74;57.78
1993;0.0;0.91;0.0;1.12;57.92
1994;0.0;1.19;0.0;1.44;56.9
1995;0.0;1.54;0.0;1.37;41.83
1996;0.0;2.76;0.0;2.33;39.76
1997;0.01;4.53;0.0;4.21;43.69
1998;0.01;6.37;0.01;7.6;56.19
1999;0.01;7.44;0.01;10.1;63.9
2000;0.02;9.82;0.01;13.03;62.48
2001;0.02;12.84;0.01;14.64;53.68
2002;0.02;16.0;0.01;18.48;54.4
2003;0.03;22.49;0.02;24.34;50.94
2004;0.05;32.26;0.02;31.25;45.61
2005;0.07;45.42;0.03;45.78;47.45
2006;0.11;68.07;0.05;66.94;46.3
2007;0.15;100.0;0.07;100.0;47.08
2008;0.22;145.11;0.12;159.94;51.9
2009;0.3;195.2;0.17;235.97;56.92
2010;0.37;242.15;0.21;285.76;55.7
2011;0.47;304.96;0.25;346.98;53.57
2012;0.61;393.24;0.32;446.73;53.49
2013;0.86;559.78;0.44;603.56;50.77
2014;1.43;923.9;0.64;874.63;44.57
2015;3.3;2139.2;1.44;1978.57;43.55
2016;8.73;5657.67;4.2;5787.44;48.16
2017;38.3;24826.47;14.24;19607.41;37.19
2018;26.06;16891.15;4.29;5903.2;16.46
2019;5766.48;3737518.39;1547.19;2129781.66;26.83
2020;139408.44;90357034.33;55163.44;75935074.18;39.57
2021;1785489.58;1157258083.52;987016.69;1358674937.1;55.28
2022;5181913.71;3358637098.11;2406990.0;3313335039.62;46.45
2023;25012858.37;16211986292.59;11743495.0;16165473670.89;46.95
