"RAMO_DE_SEGUROS";"POLIZAS";"SINIESTROS"
"SEGURO DE PERSONAS";1571699.0;1455580.0
"Individual Vida";305259.0;169.0
"Vida Desgravamen Hipotecario";0.0;2.0
"Rentas Vitalicias";0.0;0.0
"Vida Colectivo";11056.0;186.0
"Individual. Accidentes Personales";349359.0;3896.0
"Colectivos. Accidentes Personales";45567.0;2720.0
"Individual. Hospitalización";393668.0;416700.0
"Colectivo. Hospitalización";79527.0;1029457.0
"Seguros Funerarios";387263.0;2450.0
"SEGUROS PATRIMONIALES";185067.0;26182.0
"Incendio";16535.0;1290.0
"Terremoto";3534.0;0.0
"Robo";2215.0;33.0
"Transporte";2161.0;238.0
"Ramos Técnicos";1678.0;63.0
"Riesgos Petroleros";0.0;0.0
"Riesgos Combinados";14169.0;1677.0
"Lucro Cesante";187.0;0.0
"Automóvil Casco";126010.0;22335.0
"Aeronaves";977.0;9.0
"Naves";2546.0;7.0
"Agrícola";50.0;0.0
"Pecuario";21.0;0.0
"Bancarios";30.0;1.0
"Joyería";3.0;0.0
"Riesgos Diversos";14951.0;529.0
"SEGUROS OBLIGACIONALES Y/O DE RESPONSABILIDAD";339863.0;2326.0
"Responsabilidad Civil Automóvil";274915.0;542.0
"Responsabilidad Civil Patronal";21009.0;1205.0
"Responsabilidad Civil General";24397.0;502.0
"Responsabilidad Civil Profesional";2424.0;1.0
"Fianzas.";13867.0;2.0
"Fidelidad de Empleados";3193.0;74.0
"Responsabilidad Civil de Productos";53.0;0.0
"Seguro de Créditos";5.0;0.0
"SEGUROS SOLIDARIOS";903.0;2.0
"Solidario Accidentes Personales";0.0;0.0
"Solidario Funerario";76.0;0.0
"Solidario HCM";827.0;2.0
"TOTAL";2097532.0;1484090.0
