"NOMBRE_EMPRESA";"POLIZAS";"SINIESTROS"
"Adriática de Seguros, C.A.";0.0;0.0
"Altamira C.A., Seguros";11124.0;86558.0
"American International, C.A. de Seguros";66.0;38.0
"Andes C.A., Seguros";13970.0;2646.0
"Atrio Seguros C.A.";20360.0;28069.0
"Ávila C.A., de Seguros";1962.0;253.0
"Banesco Seguros C.A.";89242.0;63047.0
"BBVA Seguros, C.A.";112961.0;451.0
"Bolivariana de Seguros y Reaseguros, S.A.";5.0;0.0
"Capital, C.A Seguros";15251.0;13.0
"Carabobo C.A., Seguros (5)";0.0;0.0
"Caracas C.A., Seguros";212129.0;143747.0
"Caroní, S.A., Seguros";1950.0;344.0
"Catatumbo C.A., Seguros";55874.0;590.0
"Constitución C.A., Seguros";28429.0;38343.0
"Corporativos C.A., Seguros";358.0;1.0
"Estar Seguros, S.A.";56422.0;12279.0
"Fe C.A., Seguros";91291.0;681.0
"Guayana C.A., Seguros (5)";0.0;0.0
"Hispana de Seguros, S.A.";21777.0;32992.0
"Horizonte, S.A. Seguros";47141.0;17290.0
"Iberoamericana de Seguros C.A. (5)";0.0;0.0
"Interbank Seguros, S.A. (5)";0.0;0.0
"Internacional, S.A. de Seguros";31343.0;69301.0
"Latitud de Seguros, C.A";25.0;0.0
"Mapfre La Seguridad, C.A. de Seguros";47867.0;133975.0
"Mercantil C.A., Seguros";920664.0;416210.0
"Miranda C.A., Seguros (5)";0.0;0.0
"Multinacional de Seguros, C.A (5)";0.0;0.0
"Mundial, C.A. de Seguros";1764.0;11.0
"Nuevo Mundo S.A., Seguros";16505.0;629.0
"Occidental C.A., Seguros";4617.0;139.0
"Oceánica de Seguros, C.A.";21912.0;38875.0
"Oriental de Seguros C.A.";2239.0;23.0
"Pirámide C.A., Seguros";31350.0;116218.0
"Previsora, C.N.A de Seguros (5)";0.0;0.0
"Primus Seguros C.A.";96.0;0.0
"Proseguros, S.A.";6422.0;102.0
"Qualitas C.A., Seguros";6459.0;26495.0
"Real Seguros, S.A.";9632.0;219919.0
"Regional C.A. Seguros (5)";0.0;0.0
"Uniseguros S.A., Aseguradora Nacional Unida";1648.0;2278.0
"Universal de Seguros C.A.";3146.0;1.0
"Universitas, C.A. Seguros";169946.0;19855.0
"Venezolana de Seguros y Vida C.A.";7943.0;4421.0
"Venezuela C.A., Seguros";9689.0;7964.0
"Vértice, C.A. Seguros";196.0;19.0
"Virgen del Valle C.A., Seguros";18937.0;278.0
"Vitalicia, S.A., Seguros";2.0;0.0
"Vivir Seguros C.A.";1813.0;31.0
"Zuma Seguros, C.A.";3005.0;4.0
"TOTAL";2097532.0;1484090.0
