"NOMBRE_EMPRESA";"OPERACIONES_POR_FINANCIAMIENTO";"POR_FINANCIAMIENTO";"AJUSTE_DE_VALORES";"TOTAL"
"C.A. Inversora Primaban Financiadora de Primas";695.0;23.0;0.0;719.0
"Conficrédito Financiadora de Primas, C.A.";0.0;0.0;0.0;0.0
"Financiadora de Primas de Seguros Serfiprima, C.A";1572.0;19405.0;0.0;20977.0
"Financiadora de Primas Finanseg, C.A.";0.0;28.0;0.0;28.0
"Financiadora de Primas Inversora Segaprima , C.A.";0.0;0.0;0.0;0.0
"Financiadora de Primas Inversora Segucons, C.A.";5004.0;86123.0;0.0;91126.0
"Financiadora de Primas ISC 2004, C.A.";21.0;234.0;0.0;255.0
"Financiadora de Primas Universal, C.A.";1.0;771.0;104.0;876.0
"Finprica Financiadora de Primas, C.A.";0.0;0.0;0.0;0.0
"Interfin Financiadora de Primas, C.A.";13.0;3.0;0.0;15.0
"Inversora Catatumbo Financiadora de Primas, C.A.";160.0;1058.0;0.0;1218.0
"Inversora Previprima Financiadora de Primas C.A.";406.0;1564.0;0.0;1970.0
"Inversora Primacred 13-11 C.A Financiadora de Primas";0.0;0.0;0.0;0.0
"Inversora Primavil 12, Financiadora de Prima, C.A.";0.0;0.0;0.0;0.0
"Mercantil Financiadora de Primas, C.A.";12.0;8027.0;0.0;8040.0
"Pro Fin P.S 27 Financiadora de Primas, C.A.";0.0;0.0;0.0;0.0
"Univerprima, C.A Financiadora de Primas";6409.0;1318.0;0.0;7727.0
"TOTAL";14292.0;118554.0;104.0;132950.0
