"NOMBRE_EMPRESA";"RESERVAS_CUOTAS_EN_CURSO";"RESERVAS_SERVICIOS_REEMBOLSOS_PENDIENTES";"RESERVAS_SERVICIOS_NO_NOTIFICADOS";"RESERVAS_RIESGOS_CATASTROFICOS";"RESERVAS_REINTEGRO_EXPERIENCIA_FAVORABLE";"CUOTAS_COBRADAS_ANTICIPADO";"VALES_COBRADOS_ANTICIPADO";"DEPOSITOS_CONTRATOS_EN_PROCESO";"TOTAL_RESERVAS"
"Asistensi Medicina Prepagada, C.A.";30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0
"CliniSalud Medicina Prepagada, S.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Mediplus Medicina Prepagada, S.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Medlife Medicina Prepagada, S.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Novosalud Medicina Prepagada, S.A";13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0
"Planisalud Medicina Prepagada, C.A.";60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.0
"Privanza Medicina Prepagada, S.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Rescarven Medicina Prepagada, S.A";2860.0;0.0;0.0;0.0;0.0;1293.0;0.0;36.0;4189.0
"Salud Vital Medicina Prepagada, S.A.";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Venezolana de Protección de la Salud, S.A. (VENESALUD)";0.0;250.0;7.0;0.0;0.0;0.0;0.0;0.0;257.0
"TOTAL";2964.0;250.0;7.0;0.0;0.0;1293.0;0.0;36.0;4550.0
